cholesterol,70 milligrams,32
fat,3 grams,32
protein,3 grams,32
saturatedFat,0.5 grams,32
sodium,180 milligrams,32
sugar,1 grams,32
calories,110 calories,33
carbohydrate,1 grams,33
cholesterol,35 milligrams,33
fat,9 grams,33
protein,6 grams,33
saturatedFat,3.5 grams,33
sodium,50 milligrams,33
sugar,1 grams,33
calories,1070 calories,34
carbohydrate,142 grams,34
cholesterol,140 milligrams,34
fat,53 grams,34
fiber,6 grams,34
protein,11 grams,34
saturatedFat,33 grams,34
sodium,610 milligrams,34
sugar,69 grams,34
calories,210 calories,35
carbohydrate,38 grams,35
fat,1.5 grams,35
fiber,12 grams,35
protein,12 grams,35
sodium,630 milligrams,35
sugar,2 grams,35
calories,790 calories,36
carbohydrate,21 grams,36
cholesterol,150 milligrams,36
fat,59 grams,36
fiber,3 grams,36
protein,44 grams,36
saturatedFat,20 grams,36
sodium,1330 milligrams,36
calories,390 calories,37
carbohydrate,59 grams,37
cholesterol,45 milligrams,37
fat,16 grams,37
fiber,2 grams,37
protein,5 grams,37
saturatedFat,10 grams,37
sodium,310 milligrams,37
sugar,41 grams,37
,,38
calories,330 calories,39
carbohydrate,16 grams,39
cholesterol,145 milligrams,39
fat,16 grams,39
fiber,2 grams,39
protein,30 grams,39
saturatedFat,6 grams,39
sodium,710 milligrams,39
sugar,6 grams,39
transFat,1.5 grams,39
calories,240 calories,40
carbohydrate,27 grams,40
fat,14 grams,40
fiber,5 grams,40
protein,4 grams,40
saturatedFat,2 grams,40
sodium,1830 milligrams,40
sugar,4 grams,40
calories,210 calories,41
carbohydrate,10 grams,41
cholesterol,35 milligrams,41
fat,15 grams,41
fiber,2 grams,41
protein,10 grams,41
saturatedFat,7 grams,41
sodium,330 milligrams,41
sugar,4 grams,41
calories,1330 calories,42
carbohydrate,17 grams,42
cholesterol,365 milligrams,42
fat,104 grams,42
protein,68 grams,42
saturatedFat,36 grams,42
sodium,2310 milligrams,42
sugar,16 grams,42
calories,190 calories,43
carbohydrate,30 grams,43
cholesterol,35 milligrams,43
fat,5 grams,43
fiber,3 grams,43
protein,6 grams,43
saturatedFat,1 grams,43
sodium,990 milligrams,43
sugar,2 grams,43
calories,290 calories,44
carbohydrate,35 grams,44
cholesterol,55 milligrams,44
fat,13 grams,44
fiber,3 grams,44
protein,6 grams,44
saturatedFat,7 grams,44
sodium,670 milligrams,44
sugar,6 grams,44
,,45
calories,420 calories,46
carbohydrate,48 grams,46
cholesterol,80 milligrams,46
fat,25 grams,46
fiber,2 grams,46
protein,4 grams,46
saturatedFat,12 grams,46
sodium,160 milligrams,46
sugar,20 grams,46
calories,340 calories,47
carbohydrate,11 grams,47
cholesterol,180 milligrams,47
fat,24 grams,47
fiber,3 grams,47
protein,19 grams,47
saturatedFat,14 grams,47
sodium,860 milligrams,47
sugar,4 grams,47
calories,240 calories,48
carbohydrate,56 grams,48
fiber,7 grams,48
protein,7 grams,48
sodium,220 milligrams,48
sugar,4 grams,48
calories,450 calories,49
carbohydrate,12 grams,49
cholesterol,100 milligrams,49
fat,38 grams,49
fiber,1 grams,49
protein,18 grams,49
saturatedFat,21 grams,49
sodium,1090 milligrams,49
sugar,8 grams,49
calories,220 calories,50
carbohydrate,1 grams,50
cholesterol,95 milligrams,50
fat,14 grams,50
protein,22 grams,50
saturatedFat,6 grams,50
sodium,870 milligrams,50
,,51
calories,190 calories,52
carbohydrate,28 grams,52
cholesterol,35 milligrams,52
fat,5 grams,52
fiber,2 grams,52
protein,6 grams,52
saturatedFat,1 grams,52
sodium,210 milligrams,52
sugar,5 grams,52
calories,550 calories,53
carbohydrate,45 grams,53
cholesterol,100 milligrams,53
fat,28 grams,53
fiber,2 grams,53
protein,28 grams,53
saturatedFat,12 grams,53
sodium,650 milligrams,53
sugar,8 grams,53
,,54
,,55
calories,80 calories,56
carbohydrate,14 grams,56
fat,3 grams,56
fiber,3 grams,56
protein,1 grams,56
saturatedFat,0.5 grams,56
sodium,110 milligrams,56
sugar,8 grams,56
transFat,0.5 grams,56
calories,280 calories,57
carbohydrate,15 grams,57
cholesterol,145 milligrams,57
fat,13 grams,57
fiber,2 grams,57
protein,24 grams,57
saturatedFat,3 grams,57
sodium,540 milligrams,57
sugar,5 grams,57
calories,310 calories,58
carbohydrate,9 grams,58
cholesterol,105 milligrams,58
fat,16 grams,58
protein,33 grams,58
saturatedFat,4 grams,58
sodium,510 milligrams,58
sugar,2 grams,58
calories,700 calories,59
carbohydrate,3 grams,59
cholesterol,235 milligrams,59
fat,53 grams,59
protein,49 grams,59
saturatedFat,17 grams,59
sodium,1790 milligrams,59
sugar,1 grams,59
,,60
calories,200 calories,61
carbohydrate,21 grams,61
cholesterol,30 milligrams,61
fat,11 grams,61
fiber,1 grams,61
protein,4 grams,61
saturatedFat,7 grams,61
sodium,490 milligrams,61
sugar,1 grams,61
calories,370 calories,62
carbohydrate,26 grams,62
fat,16 grams,62
fiber,11 grams,62
protein,37 grams,62
saturatedFat,2 grams,62
sodium,430 milligrams,62
sugar,6 grams,62
calories,460 calories,63
carbohydrate,35 grams,63
cholesterol,145 milligrams,63
fat,12 grams,63
protein,52 grams,63
saturatedFat,3 grams,63
sodium,3680 milligrams,63
sugar,31 grams,63
calories,430 calories,64
carbohydrate,48 grams,64
cholesterol,50 milligrams,64
fat,16 grams,64
fiber,2 grams,64
protein,8 grams,64
saturatedFat,10 grams,64
sodium,150 milligrams,64
sugar,43 grams,64
calories,25 calories,65
carbohydrate,6 grams,65
fiber,4 grams,65
protein,2 grams,65
sodium,630 milligrams,65
calories,580 calories,66
carbohydrate,60 grams,66
cholesterol,205 milligrams,66
fat,31 grams,66
fiber,3 grams,66
protein,15 grams,66
saturatedFat,17 grams,66
sodium,1350 milligrams,66
sugar,11 grams,66
calories,620 calories,67
carbohydrate,69 grams,67
cholesterol,140 milligrams,67
fat,35 grams,67
fiber,2 grams,67
protein,8 grams,67
saturatedFat,20 grams,67
sodium,160 milligrams,67
sugar,41 grams,67
calories,310 calories,68
carbohydrate,5 grams,68
cholesterol,75 milligrams,68
fat,10 grams,68
protein,47 grams,68
saturatedFat,2 grams,68
sodium,990 milligrams,68
sugar,4 grams,68
calories,150 calories,69
carbohydrate,18 grams,69
cholesterol,10 milligrams,69
fat,7 grams,69
fiber,1 grams,69
protein,3 grams,69
saturatedFat,3.5 grams,69
sodium,390 milligrams,69
sugar,1 grams,69
calories,260 calories,70
carbohydrate,46 grams,70
cholesterol,15 milligrams,70
fat,7 grams,70
fiber,4 grams,70
protein,4 grams,70
saturatedFat,4 grams,70
sodium,160 milligrams,70
sugar,32 grams,70
calories,190 calories,71
carbohydrate,50 grams,71
sodium,30 milligrams,71
sugar,50 grams,71
calories,340 calories,72
carbohydrate,32 grams,72
cholesterol,35 milligrams,72
fat,19 grams,72
fiber,3 grams,72
protein,10 grams,72
saturatedFat,1 grams,72
sodium,960 milligrams,72
sugar,7 grams,72
calories,70 calories,73
carbohydrate,4 grams,73
cholesterol,15 milligrams,73
fat,6 grams,73
saturatedFat,3.5 grams,73
sodium,440 milligrams,73
sugar,1 grams,73
calories,640 calories,74
carbohydrate,70 grams,74
cholesterol,60 milligrams,74
fat,32 grams,74
fiber,1 grams,74
protein,18 grams,74
saturatedFat,3.5 grams,74
sodium,870 milligrams,74
sugar,49 grams,74
transFat,0.5 grams,74
calories,720 calories,75
carbohydrate,98 grams,75
cholesterol,150 milligrams,75
fat,31 grams,75
fiber,5 grams,75
protein,12 grams,75
saturatedFat,22 grams,75
sodium,600 milligrams,75
sugar,43 grams,75
calories,1210 calories,76
carbohydrate,29 grams,76
cholesterol,450 milligrams,76
fat,59 grams,76
fiber,1 grams,76
protein,129 grams,76
saturatedFat,18 grams,76
sodium,4090 milligrams,76
sugar,16 grams,76
calories,710 calories,77
carbohydrate,38 grams,77
cholesterol,115 milligrams,77
fat,45 grams,77
fiber,3 grams,77
protein,37 grams,77
saturatedFat,15 grams,77
sodium,1880 milligrams,77
sugar,9 grams,77
transFat,1 grams,77
calories,410 calories,78
carbohydrate,26 grams,78
cholesterol,140 milligrams,78
fat,12 grams,78
fiber,2 grams,78
protein,49 grams,78
saturatedFat,2.5 grams,78
sodium,880 milligrams,78
calories,250 calories,79
carbohydrate,22 grams,79
cholesterol,50 milligrams,79
fat,9 grams,79
fiber,2 grams,79
protein,20 grams,79
saturatedFat,3 grams,79
sodium,530 milligrams,79
sugar,9 grams,79
calories,850 calories,80
carbohydrate,113 grams,80
cholesterol,115 milligrams,80
fat,46 grams,80
fiber,4 grams,80
protein,7 grams,80
